기간유형,기간,게시글수,총조회수,평균조회수,최대조회수,총댓글수,평균댓글수
주차,2024-09-23/2024-09-29,243,30707,126.37,,55,0.23
주차,2024-09-30/2024-10-06,266,32320,121.5,,89,0.33
주차,2024-10-07/2024-10-13,312,34804,111.55,,66,0.21
주차,2024-10-14/2024-10-20,398,44897,112.81,,109,0.27
주차,2024-10-21/2024-10-27,350,39214,112.04,,62,0.18
주차,2024-10-28/2024-11-03,390,37734,96.75,,58,0.15
주차,2024-11-04/2024-11-10,502,45239,90.12,,32,0.06
주차,2024-11-11/2024-11-17,807,80345,99.56,,111,0.14
주차,2024-11-18/2024-11-24,644,61187,95.01,,98,0.15
주차,2024-11-25/2024-12-01,565,69925,123.76,,174,0.31
주차,2024-12-02/2024-12-08,795,71728,90.22,,85,0.11
주차,2024-12-09/2024-12-15,757,78034,103.08,,60,0.08
주차,2024-12-16/2024-12-22,754,85729,113.7,,176,0.23
주차,2024-12-23/2024-12-29,545,66054,121.2,,82,0.15
주차,2024-12-30/2025-01-05,436,50841,116.61,,69,0.16
주차,2025-01-06/2025-01-12,468,52435,112.04,,162,0.35
주차,2025-01-13/2025-01-19,755,67339,89.19,,80,0.11
주차,2025-01-20/2025-01-26,699,69945,100.06,,79,0.11
주차,2025-01-27/2025-02-02,457,49887,109.16,,70,0.15
주차,2025-02-03/2025-02-09,682,68786,100.86,,124,0.18
주차,2025-02-10/2025-02-16,469,47308,100.87,,67,0.14
주차,2025-02-17/2025-02-23,475,47477,99.95,,64,0.13
주차,2025-02-24/2025-03-02,646,64636,100.06,,105,0.16
주차,2025-03-03/2025-03-09,689,68522,99.45,,76,0.11
주차,2025-03-10/2025-03-16,522,53415,102.33,,60,0.11
주차,2025-03-17/2025-03-23,363,40049,110.33,,70,0.19
주차,2025-03-24/2025-03-30,323,31457,97.39,,38,0.12
주차,2025-03-31/2025-04-06,390,38765,99.4,,69,0.18
주차,2025-04-07/2025-04-13,598,68619,114.75,,99,0.17
주차,2025-04-14/2025-04-20,478,61041,127.7,,104,0.22
주차,2025-04-21/2025-04-27,617,68166,110.48,,137,0.22
주차,2025-04-28/2025-05-04,225,21152,94.01,,23,0.1
