date,open,high,low,close,volume
2021-04-13,28.526167,30.57433293,25.06757741,27.43142077,1170326.536
2021-04-12,27.85787472,30.60383125,26.45001811,28.57459385,1154172.102
2021-04-11,26.79781467,29.16110611,25.39423562,27.86091657,727642.6848
2021-04-10,27.61253961,29.71296121,25.4680151,26.78410116,974454.5125
2021-04-09,26.92087415,29.32439883,26.50471316,27.6282472,813100.6093
2021-04-08,26.5419801,28.56375607,24.52316761,26.96048105,1190233.685
2021-04-07,25.12667833,28.51701724,22.77336883,26.45574558,2215014.933
2021-04-06,22.98742325,25.99500273,21.72867924,25.10000302,1491050.082
2021-04-05,23.78291189,25.47019308,22.01180165,23.0083988,1191372.09
2021-04-04,22.48336714,25.7397294,21.99264807,23.78324886,1938843.655
2021-04-03,19.76831232,24.70962047,19.02790664,22.50035964,2076601.479
2021-04-02,19.05678335,20.16335298,18.0872645,19.77226302,712488.6506
2021-04-01,19.41107682,20.56118961,18.62114705,19.03813779,970254.3531
2021-03-31,19.08220123,20.24785467,17.7063302,19.4082084,1222158.288
2021-03-30,18.91987407,21.4413659,18.4468111,19.07811425,1137672.361
2021-03-29,18.07781543,19.90558013,17.17715189,18.92166734,1221271.801
2021-03-28,16.46598697,19.6993582,15.96550115,18.0781902,2556458.367
2021-03-27,14.76754218,16.98222234,14.34198621,16.46715989,1503467.372
2021-03-26,12.98169421,14.86787751,12.10028747,14.77567943,1055744.755
2021-03-25,13.5746883,13.82775317,12.42477664,12.98448975,860410.6638
2021-03-24,14.17959303,15.6467433,13.13683185,13.59164093,838730.3538
2021-03-23,14.8255626,15.49241763,13.72337594,14.16197374,697948.0836
2021-03-22,14.34749188,16.90992732,13.38253215,14.77404932,2220662.497
2021-03-21,14.16685102,14.69793016,13.41365556,14.33375494,386189.751
2021-03-20,14.16246382,15.12459506,13.95643412,14.17136632,423002.5567
2021-03-19,14.23149632,14.83063168,13.44562646,14.1460768,426832.6114
2021-03-18,14.20470049,15.08618322,13.48770378,14.23253362,550804.5865
2021-03-17,13.65168246,14.95134174,12.85065017,14.22029039,769882.8985
2021-03-16,14.18624208,14.73410907,12.6836312,13.63690575,757897.3696
2021-03-15,14.47117177,15.60231276,12.82665779,14.14919355,666678.7517
2021-03-14,15.32007797,15.48189007,14.12704144,14.48031449,577342.6855
2021-03-13,14.56889704,15.77234414,13.56447382,15.28534873,1201973.714
2021-03-12,16.07487886,16.87252469,13.70000918,14.5530421,1690593.873
2021-03-11,14.20604172,16.42307323,13.45547168,16.09405766,2365203.396
2021-03-10,14.86721041,15.733899,13.28760606,14.21990216,1016357.698
2021-03-09,13.61350251,15.16454586,13.00323928,14.87261677,953697.4963
2021-03-08,13.81102343,14.32909577,12.60685983,13.61570362,1231782.726
2021-03-07,13.05393775,15.31282554,12.31428107,13.83880356,1528749.362
2021-03-06,12.53917757,13.51072728,11.77300375,13.05562056,921845.3061
2021-03-05,13.04787102,13.53613647,11.70901647,12.53518336,671025.1048
2021-03-04,14.10561532,14.5435851,12.56062332,13.05535132,816900.9556
2021-03-03,13.97120688,15.29784017,13.15019552,14.0866305,1309594.044
2021-03-02,14.99667575,15.52201244,13.30843105,13.93317529,1447897.531
2021-03-01,13.10640099,15.96871407,12.92849949,15.02812778,3498118.235
2021-02-28,13.191641,14.4407402,11.27193823,13.12146753,4134062.105
2021-02-27,13.59513401,15.16472658,12.76120032,13.22056467,2629223.16
2021-02-26,13.8382632,15.83806852,12.74202783,13.59952841,2806912.429
2021-02-25,17.19761044,18.33537765,13.45140072,13.88429239,3429967.432
2021-02-24,15.22844888,18.770404,14.39980636,17.21534644,4335999.812
2021-02-23,14.43438996,18.0496099,11.22656679,15.21662732,6438122.339
2021-02-22,11.09147721,15.71111236,8.19734822,14.43728769,7092416.099
2021-02-21,9.99204814,11.88260373,9.82246821,11.0896396,1721343.354
2021-02-20,11.50173083,12.25950342,9.51420591,9.99348223,1850856.738
2021-02-19,8.98937682,12.8782012,8.46852479,11.50146178,3480252.689
2021-02-18,8.24431304,9.5132762,8.00543576,8.99091083,939408.224
2021-02-17,8.29005358,8.90116762,7.34146162,8.24614118,1278551.809
2021-02-16,8.85531121,9.38962033,7.7154966,8.29792163,1280458.671
2021-02-15,8.72781234,9.66577755,7.62439705,8.85182529,1947682.757
2021-02-14,8.7617707,9.67730358,8.12711575,8.72189906,1223921.606
2021-02-13,9.22348987,9.63018917,8.49881648,8.75564153,959203.3537
2021-02-12,9.2090442,10.21893875,8.60594747,9.23113361,1090661.598
2021-02-11,9.08672521,10.40598981,8.11094814,9.21356784,1741183.948
2021-02-10,7.82074416,9.59844829,7.10824735,9.09089328,1341062.421
2021-02-09,7.86910488,8.92846052,7.30382156,7.80627255,2117997.232
2021-02-08,6.7024004,9.23259768,5.51883268,7.85755959,2627399.286
2021-02-07,6.14518359,7.09452494,5.64009719,6.70521701,1974305.262
2021-02-06,6.69252798,7.26488851,5.32680553,6.13287636,2363468.795
2021-02-05,6.42785135,7.19276406,6.33343027,6.69006526,1740894.193
2021-02-04,5.73802043,6.78836554,5.39655855,6.42511252,1552838.896
2021-02-03,5.234891,5.84841815,4.87095262,5.76036727,1304108.047
2021-02-02,4.61412558,5.63177995,4.39092905,5.23836663,2601492.92
2021-02-01,4.26231763,4.77833329,3.86708373,4.61257294,985905.1224
2021-01-31,4.23740993,4.92920996,3.91822634,4.25335407,1761572.413
2021-01-30,3.83401124,4.35029065,3.63825727,4.23836914,1184402.523
2021-01-29,3.82310615,4.4242167,3.03877141,3.83103496,1650397.979
2021-01-28,3.68175587,4.24195875,3.37849152,3.82188687,1103968.981
2021-01-27,4.04730634,4.05572979,3.39956683,3.68689593,836117.0975
2021-01-26,3.71232058,4.20928106,3.54474268,4.04691054,1911168.378
2021-01-25,3.63401428,4.12951642,3.192243,3.70186262,3386999.077
2021-01-24,3.50982573,3.8708511,3.35900296,3.63629064,948517.9135
2021-01-23,3.33337422,3.73104245,3.17366297,3.50534237,698227.7172
2021-01-22,2.99098554,3.72520088,2.48571086,3.33383855,2321916.107
2021-01-21,3.71435641,3.95440719,2.88957664,2.98683947,1726324.44
2021-01-20,3.63567368,3.88264052,3.25154279,3.72066226,896543.2153
2021-01-19,3.79139315,4.20408637,3.55950856,3.63646741,1846127.266
2021-01-18,3.82679081,4.29849192,3.50363199,3.78996768,2465069.285
2021-01-17,3.43131786,4.12461602,3.14066192,3.81833466,2497801.27
2021-01-16,3.24621384,3.84027005,3.08676194,3.42851638,2062068.072
2021-01-15,3.28778701,3.59074412,2.85112387,3.24412847,1308780.02
2021-01-14,3.52206551,3.7874514,2.95812505,3.28225608,1802142.33
2021-01-13,3.63071352,4.07991072,2.92940295,3.53349649,1846061.047
2021-01-12,3.1054429,4.02202012,2.81825625,3.62873387,2121811.606
2021-01-11,3.44946018,3.82706825,2.48748537,3.10405701,2216038.381
2021-01-10,3.39344462,3.87829192,2.77726942,3.44819825,2522305.693
2021-01-09,3.22576645,3.76809273,2.84687981,3.39370893,3028423.394
2021-01-08,2.37647251,3.89156915,2.08422008,3.23032795,8683419.626
2021-01-07,1.94382594,2.8280063,1.88785602,2.36968074,7332187.408
2021-01-06,2.16832636,2.36726641,1.67152914,1.94432568,3005917.567
2021-01-05,2.49575352,2.68857593,1.86986772,2.1633647,2636300.107
2021-01-04,2.19041981,2.65579339,1.71439905,2.49820136,3126355.636
2021-01-03,1.79849743,2.43837853,1.76054274,2.19097622,3176428.878
2021-01-02,1.8440534,2.16030547,1.55136408,1.80452832,1722894.564
2021-01-01,1.50821772,1.88683326,1.49257219,1.8480436,1336855.767
2020-12-31,1.53416308,1.59169155,1.40102837,1.5116204,912016.1812
2020-12-30,1.6690851,1.78318971,1.4445073,1.53373254,948848.7048
2020-12-29,1.51680824,1.76004383,1.39978774,1.66931841,1666965.432
2020-12-28,1.30198989,1.57072603,1.26241407,1.51656002,838285.8106
2020-12-27,1.32347163,1.47708973,1.16409677,1.30245248,1064184.356
2020-12-26,1.44541921,1.57973571,1.21758841,1.32559452,545192.5412
2020-12-25,1.36157689,1.53510005,1.31783827,1.44898388,592014.7198
2020-12-24,1.19927455,1.39556222,1.15131868,1.36016959,720875.8366
2020-12-23,1.49058084,1.52274944,1.01812699,1.19892419,1808275.672
2020-12-22,1.53721707,1.62827005,1.39267508,1.49297069,930407.4002
2020-12-21,1.56427518,1.66372748,1.43256351,1.53790757,453929.6382
2020-12-20,1.67255327,1.73444014,1.50234286,1.55994443,617659.8743
2020-12-19,1.70089896,1.86583183,1.58788094,1.66760168,457577.8603
2020-12-18,1.67750575,1.72366848,1.60421098,1.70072385,386259.5553
2020-12-17,1.7810683,2.01154306,1.50790656,1.67939912,1019976.137
2020-12-16,1.75866814,1.95548889,1.53589772,1.78361323,1256312.697
2020-12-15,1.59417296,1.82871091,1.55422484,1.75952227,1231451.032
2020-12-14,1.56844906,1.63756351,1.51178296,1.59147754,553443.1414
2020-12-13,1.4911586,1.6585538,1.44944029,1.56806414,455147.2762
2020-12-12,1.43723029,1.5814454,1.42604426,1.49106834,535909.0872
2020-12-11,1.56976593,1.5785743,1.40128704,1.4379453,714756.9285
2020-12-10,1.66176213,1.66965018,1.52598542,1.56876852,361361.1079
2020-12-09,1.66408182,1.70821062,1.49525533,1.65906243,596325.1194
2020-12-08,1.82978314,1.840996,1.5972276,1.66143534,728641.5294
2020-12-07,1.84917638,1.91892407,1.79318601,1.8328503,327114.0455
2020-12-06,1.98257522,2.01367696,1.79431363,1.84984361,367205.6573
2020-12-05,1.85129119,1.98929572,1.81927571,1.98285831,452014.0888
2020-12-04,2.10187624,2.12057429,1.83103635,1.85590346,593660.7366
2020-12-03,2.11790276,2.31402574,2.02198293,2.10175376,1351348.662
2020-12-02,1.97290598,2.25621114,1.92284685,2.11821404,1665637.295
2020-12-01,1.96771893,2.19312609,1.79202505,1.97293645,635447.4084
2020-11-30,1.92077105,2.13219915,1.75730526,1.96839176,424701.8237
2020-11-29,1.88711006,1.9753731,1.81156074,1.91635951,252932.1702
2020-11-28,1.86668615,2.00201563,1.77671627,1.88753946,514665.27
2020-11-27,1.91365758,2.01741481,1.76370747,1.8633217,640732.7216
2020-11-26,2.26932335,2.32445641,1.62248392,1.91344942,1984424.494
2020-11-25,2.28171119,2.57982685,2.13565979,2.27016452,1573257.258
2020-11-24,2.28142784,2.6025341,2.01061383,2.2810261,1856313.47
2020-11-23,2.15695838,2.37878436,2.09871146,2.27743339,878301.7583
2020-11-22,2.39051162,2.43229998,2.01862077,2.15838341,945501.2357
2020-11-21,2.10286562,2.53984247,2.01808173,2.38471182,1067703.732
2020-11-20,2.08286228,2.31084286,1.99297038,2.10250323,609855.6447
2020-11-19,2.1207924,2.23450523,1.97116129,2.08563469,506628.4463
2020-11-18,2.20481914,2.32053023,1.92266172,2.1164268,861172.862
2020-11-17,2.2687507,2.49912788,1.98479326,2.20083116,1203457.243
2020-11-16,2.04228484,2.46464602,1.98400771,2.26831647,1474125.405
2020-11-15,1.92026995,2.23523441,1.88334367,2.04556496,1091883.131
2020-11-14,2.01984929,2.05922718,1.86451779,1.92143167,437214.8165
2020-11-13,1.91010948,2.11354079,1.84754995,2.0169463,814552.9415
2020-11-12,2.00544614,2.15247375,1.76621568,1.91052935,903742.9617
2020-11-11,2.26597479,2.38857106,1.92739115,2.00579442,1257912.263
2020-11-10,2.03869452,2.3451522,1.98809546,2.2710335,1110712.975
2020-11-09,2.15399913,2.23755116,1.93297112,2.03758713,1084865.002
2020-11-08,2.02533539,2.3123656,1.92988003,2.15818431,1604804.54
2020-11-07,1.90986505,2.54429228,1.7555692,2.02477677,4900525.942
2020-11-06,1.4030802,1.99840538,1.36369401,1.90636348,2320919.104
2020-11-05,1.39063116,1.58235462,1.22620933,1.40242419,989151.4798
2020-11-04,1.41219961,1.45598975,1.24215077,1.39120472,963326.2594
2020-11-03,1.47563518,1.53996348,1.33222689,1.41263916,388098.8658
2020-11-02,1.60639569,1.65274017,1.43086028,1.47816893,387211.9224
2020-11-01,1.55013996,1.65339182,1.50157086,1.60812488,471288.1164
2020-10-31,1.43943919,1.58894006,1.41398814,1.55098482,433260.9489
2020-10-30,1.4355325,1.48953336,1.32997478,1.44240579,692188.6613
2020-10-29,1.52112134,1.61821858,1.36874142,1.43740594,481267.7499
2020-10-28,1.71255797,1.74373792,1.37367047,1.52086559,1404571.761
2020-10-27,1.67788255,1.80465332,1.58321075,1.71058614,792681.35
2020-10-26,1.79456711,1.87925554,1.61769839,1.68077429,870518.5603
2020-10-25,1.91747142,1.97542688,1.74195354,1.79537755,347169.6302
2020-10-24,1.96571046,2.00193074,1.85633387,1.91778442,271834.3645
2020-10-23,1.96039222,1.99986043,1.83318732,1.96314674,551561.0788
2020-10-22,1.89144557,2.13469969,1.82105434,1.96022538,637808.9868
2020-10-21,1.89109179,2.20150397,1.69995766,1.89040665,1807808.81
